target_count,seed_index,result_index,trial_count,L_BBHT,orca_sw_us,m2_hw_us,m2_vs_orca_speedup
64,69,8225,15,23,5753020,71,81028.45070422535
64,70,5531,15,40,8785411,92,95493.59782608696
64,71,2852,16,27,6638480,94,70622.12765957447
64,72,13048,13,20,4920299,66,74549.98484848485
64,73,701,17,35,8204426,93,88219.63440860216
64,74,507,16,48,10339493,96,107703.05208333333
64,75,10812,7,5,1696128,34,49886.117647058825
64,76,1801,15,36,8060348,91,88575.25274725274
64,77,701,8,8,2216437,41,54059.439024390245
64,78,5281,6,5,1549835,32,48432.34375
64,79,8089,16,43,9430575,105,89815.0
64,80,8799,8,4,1513621,40,37840.525
64,81,7786,7,6,1775388,37,47983.45945945946
64,82,10234,11,15,3953098,59,67001.66101694915
64,83,5270,14,23,5752866,113,50910.318584070796
64,84,14494,3,1,511485,20,25574.25
64,85,5200,10,13,3370074,50,67401.48
64,86,586,12,19,4654628,67,69472.05970149254
64,87,10593,13,23,5510198,73,75482.16438356164
